simTime, rand 
      1,    2 
      1,    1 
      1,   10 
      2,    5 
      2,    7 
      2,    6 
      3,    8 
      3,    9 
      3,    4 
      4,    7 
      4,    1 
      4,    3 
      1,    2 
      1,    9 
      1,    8 
      2,    3 
      2,    5 
      2,    5 
      3,    7 
      3,    8 
      3,    1 
      4,    1 
      4,    9 
      4,    5 
      5,    8 
      5,    1 
      5,    5 
      6,    8 
      6,    3 
      6,   10 
      7,   10 
      7,    1 
      7,    1 
      8,    6 
      8,   10 
      8,    4 
      1,   10 
      1,   10 
      1,    1 
      2,    1 
      2,    9 
      2,    8 
      3,    7 
      3,    4 
      3,    7 
      4,    7 
      4,    6 
      4,    2 
      5,    5 
      5,    4 
      5,    8 
      6,   10 
      6,   10 
      6,    6 
      7,    5 
      7,    3 
      7,    1 
      8,    1 
      8,    5 
      8,    4 
      9,    4 
      9,    9 
      9,    6 
     10,    6 
     10,    3 
     10,    1 
     11,    4 
     11,    2 
     11,    6 
      1,    3 
      1,    6 
      1,    4 
      2,    7 
      2,    7 
      2,    1 
      3,    1 
      3,    9 
      3,    3 
      4,    3 
      4,   10 
      4,    5 
      5,    9 
      5,    5 
      5,    7 
      6,    2 
      6,    7 
      6,    9 
      7,    6 
      7,    8 
      7,    7 
      8,    1 
      8,    8 
      8,    6 
      9,    4 
      9,    1 
      9,    9 
     10,    5 
     10,    8 
     10,    9 
      1,    3 
      1,    2 
      1,    4 
      2,    2 
      2,    1 
      2,    5 
      3,   10 
      3,    9 
      3,    8 
      1,    7 
      1,    8 
      1,    8 
