simTime, rand 
      1,    2 
      1,    1 
      1,   11 
      2,    5 
      2,    8 
      2,    7 
      3,    8 
      3,   10 
      3,    4 
      4,    8 
      4,    1 
      4,    4 
      5,    1 
      5,    5 
      5,   10 
      6,   10 
      6,    8 
      6,   10 
      7,    6 
      7,    1 
      7,    6 
      8,    8 
      8,    3 
      8,    2 
      9,   11 
      9,    5 
      9,    8 
     10,   11 
     10,    8 
     10,    5 
      1,    2 
      1,   10 
      1,    9 
      2,    3 
      2,    6 
      2,    5 
      3,    8 
      3,    9 
      3,    2 
      4,    1 
      4,   10 
      4,    5 
      5,    9 
      5,    1 
      5,    5 
      6,    8 
      6,    3 
      6,   11 
      7,   10 
      7,    1 
      7,    1 
      8,    6 
      8,   11 
      8,    5 
      1,   11 
      1,   11 
      1,    1 
      2,    1 
      2,   10 
      2,    9 
      3,    8 
      3,    4 
      3,    7 
      4,    7 
      4,    7 
      4,    2 
      5,    5 
      5,    5 
      5,    8 
      6,   11 
      6,   11 
      6,    6 
      7,    5 
      7,    3 
      7,    1 
      8,    1 
      8,    6 
      8,    4 
      9,    5 
      9,   10 
      9,    6 
     10,    7 
     10,    3 
     10,    1 
     11,    4 
     11,    2 
     11,    6 
      1,    3 
      1,    6 
      1,    5 
      2,    7 
      2,    7 
      2,    1 
      3,    1 
      3,   10 
      3,    3 
      4,    3 
      4,   11 
      4,    6 
      5,   10 
      5,    6 
      5,    8 
      6,    2 
      6,    7 
      6,   10 
      7,    6 
      7,    9 
      7,    8 
      8,    1 
      8,    9 
      8,    7 
      9,    4 
      9,    1 
      9,   10 
     10,    6 
     10,    8 
     10,   10 
      1,    3 
      1,    2 
      1,    5 
      2,    2 
      2,    1 
      2,    5 
      3,   11 
      3,    9 
      3,    9 
      4,    3 
      4,    6 
      4,    4 
      5,    2 
      5,    2 
      5,    3 
      6,   11 
      6,   10 
      6,    9 
      7,    9 
      7,    3 
      7,    4 
      8,    7 
      8,    9 
      8,   10 
      9,   10 
      9,    1 
      9,    7 
     10,    8 
     10,    6 
     10,    2 
     11,    6 
     11,    1 
     11,   11 
      1,    7 
      1,    9 
      1,    9 
      2,   11 
      2,    9 
      2,   11 
      3,    1 
      3,    6 
      3,   11 
      4,    8 
      4,   10 
      4,    2 
      5,    6 
      5,    3 
      5,    6 
      6,    7 
      6,    1 
      6,    3 
      7,    4 
      7,   11 
      7,    9 
      8,    2 
      8,    9 
      8,    2 
      9,    7 
      9,    2 
      9,    1 
     10,   10 
     10,    3 
     10,    3 
     11,   11 
     11,   10 
     11,    4 
      1,    9 
      1,   10 
      1,    6 
      2,    3 
      2,    1 
      2,    8 
      3,    6 
      3,    9 
      3,    5 
      4,    9 
      4,    3 
      4,    9 
      5,    9 
      5,    5 
      5,    6 
      6,    8 
      6,    3 
      6,    7 
      7,    9 
      7,    3 
      7,    9 
      8,    8 
      8,   10 
      8,    4 
      9,    2 
      9,    9 
      9,    9 
     10,    5 
     10,    2 
     10,    3 
      1,    4 
      1,    2 
      1,    8 
      2,    1 
      2,    6 
      2,    5 
      3,    1 
      3,    6 
      3,    1 
      4,    5 
      4,    1 
      4,    1 
      5,    5 
      5,   10 
      5,    2 
      6,    3 
      6,    7 
      6,   11 
      7,    7 
      7,    5 
      7,   11 
      8,    1 
      8,   10 
      8,    4 
      9,    2 
      9,    2 
      9,    4 
      1,    3 
      1,   11 
      1,    2 
      2,    8 
      2,    1 
      2,    3 
      3,   11 
      3,    3 
      3,    8 
      4,    6 
      4,    5 
      4,    6 
      5,    3 
      5,   10 
      5,    1 
      6,    3 
      6,    1 
      6,    3 
      7,    5 
      7,   10 
      7,    5 
      8,    2 
      8,    3 
      8,   11 
